"vmid","vmtype","createtime","releasetime"
"vm_115687","ecs.c1.large","2019-05-17","2019-05-17"
"vm_247408","ecs.c1.large","2019-05-17","2019-05-17"
"vm_197101","ecs.c1.large","2019-05-17","2019-05-17"
"vm_184831","ecs.c1.xlarge","2019-05-17","2019-05-17"
"vm_57853","ecs.c1.large","2019-05-17","2019-05-17"
"vm_57854","ecs.c1.large","2019-05-17","2019-05-17"
"vm_57855","ecs.c1.large","2019-05-17","2019-05-17"
"vm_115726","ecs.c1.large","2019-05-17","2019-05-17"
"vm_258078","ecs.c1.large","2019-05-17","2019-05-17"
"vm_275836","ecs.c1.large","2019-05-17","2019-05-17"
"vm_57867","ecs.c1.large","2019-05-17","2019-05-17"
"vm_238726","ecs.c1.large","2019-05-17","2019-05-17"
"vm_57868","ecs.c1.large","2019-05-17","2019-05-18"
"vm_258081","ecs.c1.large","2019-05-17","2019-05-17"
"vm_28937","ecs.c1.large","2019-05-17","2019-05-17"
"vm_57884","ecs.c1.large","2019-05-17","2019-05-17"
"vm_115778","ecs.c1.large","2019-05-17","2019-05-17"
"vm_115785","ecs.c1.large","2019-05-17","2019-05-17"
"vm_288773","ecs.c1.large","2019-05-17","2019-05-17"
"vm_1809","ecs.c1.large","2019-05-17","2019-05-17"
"vm_238721","ecs.c1.large","2019-05-17","2019-05-17"
"vm_57908","ecs.c1.large","2019-05-17","2019-05-17"
"vm_14479","ecs.c1.large","2019-05-17","2019-05-17"
"vm_158339","ecs.c1.large","2019-05-17","2019-05-17"
"vm_258027","ecs.g1.xlarge","2019-05-17","2019-05-18"
"vm_28961","ecs.c1.large","2019-05-17","2019-05-19"
"vm_57929","ecs.g1.large","2019-05-17","2019-06-03"
"vm_217253","ecs.c1.large","2019-05-17","2019-05-17"
"vm_184782","ecs.c1.large","2019-05-17","2019-05-17"
"vm_284874","ecs.c1.large","2019-05-17","2019-05-17"
"vm_160988","ecs.c1.large","2019-05-17","2019-05-17"
"vm_115879","ecs.c1.large","2019-05-17","2019-05-17"
"vm_238713","ecs.c1.large","2019-05-17","2019-05-17"
"vm_181438","ecs.c1.large","2019-05-17","2019-05-17"
"vm_115919","ecs.g1.large","2019-05-17","2019-06-03"
"vm_258000","ecs.c1.large","2019-05-17","2019-05-17"
"vm_258016","ecs.c1.large","2019-05-17","2019-05-17"
"vm_28981","ecs.c1.large","2019-05-17","2019-05-17"
"vm_282935","ecs.g1.large","2019-05-17","2019-06-03"
"vm_115945","ecs.c1.large","2019-05-17","2019-05-17"
"vm_197034","ecs.c1.large","2019-05-17","2019-05-17"
"vm_158328","ecs.c1.large","2019-05-17","2019-05-17"
"vm_7251","ecs.c1.large","2019-05-17","2019-05-17"
"vm_251126","ecs.c1.large","2019-05-17","2019-05-17"
"vm_189999","ecs.c1.large","2019-05-17","2019-05-17"
"vm_116032","ecs.c1.large","2019-05-17","2019-05-17"
"vm_14506","ecs.c1.large","2019-05-17","2019-05-17"
"vm_257943","ecs.c1.xlarge","2019-05-17","2019-05-21"
"vm_181424","ecs.c1.large","2019-05-17","2019-05-18"
"vm_169241","ecs.g1.large","2019-05-17","2019-05-17"
"vm_116103","ecs.c1.large","2019-05-17","2019-05-17"
"vm_116108","ecs.c1.large","2019-05-17","2019-05-18"
"vm_58062","ecs.c1.large","2019-05-17","2019-05-17"
"vm_257929","ecs.c1.large","2019-05-17","2019-05-17"
"vm_192745","ecs.c1.large","2019-05-17","2019-05-17"
"vm_294863","ecs.c1.large","2019-05-17","2019-05-17"
"vm_257935","ecs.c1.large","2019-05-17","2019-05-19"
"vm_257926","ecs.c1.large","2019-05-17","2019-05-17"
"vm_116200","ecs.c1.large","2019-05-17","2019-05-18"
"vm_58100","ecs.c1.large","2019-05-17","2019-05-17"
"vm_160980","ecs.c1.large","2019-05-17","2019-05-17"
"vm_29051","ecs.c1.large","2019-05-17","2019-05-17"
"vm_116222","ecs.c1.large","2019-05-17","2019-05-17"
"vm_58112","ecs.c1.large","2019-05-17","2019-05-17"
"vm_116254","ecs.c1.large","2019-05-17","2019-05-17"
"vm_166768","ecs.c1.large","2019-05-17","2019-05-17"
"vm_116268","ecs.c1.large","2019-05-17","2019-05-17"
"vm_205930","ecs.c1.large","2019-05-17","2019-05-17"
"vm_197009","ecs.c1.large","2019-05-17","2019-05-17"
"vm_210336","ecs.c1.large","2019-05-17","2019-05-17"
"vm_116299","ecs.c1.large","2019-05-17","2019-05-17"
"vm_7268","ecs.c1.large","2019-05-17","2019-05-17"
"vm_116314","ecs.c1.large","2019-05-17","2019-05-17"
"vm_169233","ecs.c1.large","2019-05-17","2019-05-17"
"vm_58177","ecs.c1.large","2019-05-17","2019-05-17"
"vm_227905","ecs.c1.large","2019-05-17","2019-05-17"
"vm_201731","ecs.c1.large","2019-05-17","2019-05-18"
"vm_29089","ecs.c1.large","2019-05-17","2019-05-17"
"vm_257876","ecs.c1.large","2019-05-17","2019-05-17"
"vm_220169","ecs.c1.large","2019-05-17","2019-05-17"
"vm_116410","ecs.c1.large","2019-05-17","2019-05-18"
"vm_258092","ecs.c1.large","2019-05-17","2019-05-17"
"vm_247340","ecs.c1.large","2019-05-17","2019-05-17"
