"vmid","vmtype","createtime","releasetime"
"vm_242652","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_242653","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_62895","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_105270","ecs.r1.large","2019-04-18","2019-04-18"
"vm_62923","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_62931","ecs.c1.xlarge","2019-04-18","2019-04-18"
"vm_276625","ecs.c1.2xlarge","2019-04-18","2019-04-19"
"vm_63059","ecs.g1.xlarge","2019-04-18","\N"
"vm_105256","ecs.c1.xlarge","2019-04-18","2019-04-19"
"vm_213090","ecs.c1.large","2019-04-18","2019-04-18"
"vm_116612","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_276616","ecs.c1.large","2019-04-18","2019-04-18"
"vm_271428","ecs.c1.xlarge","2019-04-18","2019-04-22"
"vm_192475","ecs.g1.2xlarge","2019-04-18","2019-04-18"
"vm_198566","ecs.c1.xlarge","2019-04-18","2019-04-22"
"vm_7904","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_239819","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_235305","ecs.c1.xlarge","2019-04-18","2019-04-19"
"vm_63315","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_213011","ecs.g1.large","2019-04-18","2019-04-18"
"vm_213003","ecs.c1.large","2019-04-18","2019-04-18"
"vm_213001","ecs.g1.large","2019-04-18","2019-04-18"
"vm_127869","ecs.c1.large","2019-04-18","2019-04-18"
"vm_200574","ecs.c1.xlarge","2019-04-18","2019-05-28"
"vm_15864","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_182906","ecs.c1.large","2019-04-18","2019-04-18"
"vm_63530","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_63579","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_287115","ecs.c1.large","2019-04-18","2019-04-18"
"vm_155576","ecs.c1.large","2019-04-18","2019-04-18"
"vm_287119","ecs.c1.xlarge","2019-04-18","2019-04-18"
"vm_63670","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_7958","ecs.c1.large","2019-04-18","2019-04-18"
"vm_254333","ecs.g1.large","2019-04-18","\N"
"vm_63730","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_15934","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_63749","ecs.c1.2xlarge","2019-04-18","2019-04-19"
"vm_251800","ecs.c1.xlarge","2019-04-18","2019-04-18"
"vm_280235","ecs.c1.large","2019-04-18","2019-04-19"
"vm_268100","ecs.g1.2xlarge","2019-04-18","2019-04-18"
"vm_63790","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_190942","ecs.c1.large","2019-04-18","2019-04-18"
"vm_63863","ecs.c1.xlarge","2019-04-18","2019-04-18"
"vm_63873","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_133842","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_63895","ecs.c1.large","2019-04-18","2019-04-18"
"vm_122644","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_15979","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_136617","ecs.g1.large","2019-04-18","2019-04-18"
"vm_8006","ecs.c1.large","2019-04-18","2019-04-18"
"vm_16014","ecs.c1.large","2019-04-18","2019-04-18"
"vm_251785","ecs.c1.large","2019-04-18","2019-04-18"
"vm_183986","ecs.g1.large","2019-04-18","2019-04-18"
"vm_162169","ecs.c1.large","2019-04-18","2019-04-18"
"vm_235223","ecs.c1.large","2019-04-18","2019-04-18"
"vm_64097","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_64158","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_64197","ecs.g1.xlarge","2019-04-18","2019-04-18"
"vm_64237","ecs.c1.large","2019-04-18","2019-04-18"
"vm_32120","ecs.c1.large","2019-04-18","2019-05-28"
"vm_286964","ecs.c1.large","2019-04-18","2019-05-13"
