"vmid","vmtype","createtime","releasetime"
"vm_294016","ecs.c1.large","2019-06-02","2019-06-02"
"vm_258622","ecs.c1.large","2019-06-02","2019-06-02"
"vm_142499","ecs.c1.large","2019-06-02","2019-06-03"
"vm_71279","ecs.c1.large","2019-06-02","2019-06-02"
"vm_35654","ecs.c1.large","2019-06-02","2019-06-07"
"vm_264159","ecs.c1.large","2019-06-02","2019-06-02"
"vm_35676","ecs.c1.large","2019-06-02","2019-06-07"
"vm_142814","ecs.c1.large","2019-06-02","2019-06-02"
"vm_17855","ecs.c1.large","2019-06-02","2019-06-02"
"vm_71418","ecs.c1.large","2019-06-02","2019-06-02"
"vm_142879","ecs.c1.xlarge","2019-06-02","2019-06-19"
"vm_247393","ecs.c1.large","2019-06-02","2019-06-02"
"vm_142924","ecs.c1.large","2019-06-02","2019-06-02"
"vm_35741","ecs.c1.large","2019-06-02","2019-06-03"
"vm_143067","ecs.c1.large","2019-06-02","2019-06-04"
"vm_17886","ecs.c1.large","2019-06-02","2019-06-02"
"vm_269422","ecs.c1.large","2019-06-02","2019-06-04"
"vm_143123","ecs.c1.large","2019-06-02","2019-06-02"
"vm_35806","ecs.c1.large","2019-06-02","2019-06-03"
"vm_143244","ecs.c1.large","2019-06-02","2019-06-03"
"vm_8952","ecs.c1.large","2019-06-02","2019-06-02"
"vm_143392","ecs.c1.large","2019-06-02","2019-06-02"
"vm_247357","ecs.c1.large","2019-06-02","2019-06-02"
"vm_71711","ecs.c1.large","2019-06-02","2019-06-02"
"vm_17931","ecs.c1.large","2019-06-02","2019-06-02"
"vm_199412","ecs.c1.large","2019-06-02","2019-06-02"
"vm_17935","ecs.c1.large","2019-06-02","2019-06-02"
"vm_258539","ecs.c1.large","2019-06-02","2019-06-02"
"vm_293944","ecs.c1.large","2019-06-02","2019-06-03"
"vm_71791","ecs.g1.large","2019-06-02","2019-06-02"
"vm_143623","ecs.c1.large","2019-06-02","2019-06-02"
"vm_17957","ecs.c1.large","2019-06-02","2019-06-02"
"vm_202789","ecs.c1.large","2019-06-02","2019-06-02"
"vm_143707","ecs.c1.large","2019-06-02","2019-06-02"
"vm_285587","ecs.c1.large","2019-06-02","2019-06-02"
"vm_71882","ecs.c1.large","2019-06-02","2019-06-02"
"vm_143817","ecs.c1.large","2019-06-02","2019-06-03"
"vm_221290","ecs.c1.large","2019-06-02","2019-06-02"
"vm_17988","ecs.c1.large","2019-06-02","2019-06-02"
"vm_36011","ecs.c1.large","2019-06-02","2019-06-03"
