"vmid","vmtype","createtime","releasetime"
"vm_189963","ecs.c1.large","2019-04-30","2019-04-30"
"vm_163993","ecs.c1.large","2019-04-30","2019-04-30"
"vm_189956","ecs.c1.large","2019-04-30","2019-04-30"
"vm_289913","ecs.c1.large","2019-04-30","2019-04-30"
"vm_132982","ecs.c1.large","2019-04-30","2019-04-30"
"vm_229430","ecs.c1.large","2019-04-30","2019-04-30"
"vm_242167","ecs.c1.large","2019-04-30","2019-04-30"
"vm_137976","ecs.r1.xlarge","2019-04-30","2019-04-30"
"vm_289904","ecs.c1.large","2019-04-30","2019-04-30"
"vm_64339","ecs.c1.large","2019-04-30","2019-04-30"
"vm_156794","ecs.c1.large","2019-04-30","2019-04-30"
"vm_254303","ecs.g1.large","2019-04-30","\N"
"vm_204302","ecs.c1.large","2019-04-30","2019-05-02"
"vm_223419","ecs.c1.large","2019-04-30","2019-04-30"
"vm_254284","ecs.c1.large","2019-04-30","\N"
"vm_254190","ecs.c1.large","2019-04-30","\N"
"vm_167601","ecs.c1.large","2019-04-30","2019-04-30"
"vm_254166","ecs.g1.xlarge","2019-04-30","\N"
"vm_64807","ecs.c1.large","2019-04-30","2019-04-30"
"vm_32406","ecs.c1.large","2019-04-30","2019-04-30"
"vm_4051","ecs.c1.xlarge","2019-04-30","2019-04-30"
"vm_64835","ecs.c1.large","2019-04-30","2019-04-30"
"vm_64843","ecs.c1.large","2019-04-30","2019-04-30"
"vm_121768","ecs.c1.xlarge","2019-04-30","2019-04-30"
"vm_181162","ecs.c1.large","2019-04-30","2019-04-30"
"vm_200465","ecs.c1.large","2019-04-30","2019-04-30"
"vm_32531","ecs.c1.large","2019-04-30","2019-04-30"
"vm_189880","ecs.c1.large","2019-04-30","2019-04-30"
"vm_8136","ecs.c1.large","2019-04-30","2019-04-30"
"vm_241986","ecs.c1.large","2019-04-30","2019-04-30"
"vm_139963","ecs.g1.large","2019-04-30","2019-05-13"
"vm_253993","ecs.g1.2xlarge","2019-04-30","\N"
"vm_153484","ecs.c1.large","2019-04-30","2019-04-30"
"vm_151904","ecs.r1.xlarge","2019-04-30","2019-04-30"
"vm_179417","ecs.c1.large","2019-04-30","2019-04-30"
"vm_16091","ecs.g1.large","2019-05-01","2019-05-02"
"vm_223346","ecs.r1.xlarge","2019-05-01","2019-05-01"
"vm_186487","ecs.c1.2xlarge","2019-05-01","2019-05-01"
"vm_33355","ecs.g1.large","2019-05-01","2019-05-01"
"vm_253680","ecs.c1.2xlarge","2019-05-01","\N"
"vm_253681","ecs.c1.2xlarge","2019-05-01","\N"
