"vmid","vmtype","createtime","releasetime"
"vm_37454","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74917","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74921","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37461","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37460","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74925","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37462","ecs.c1.large","2019-03-22","2019-03-22"
"vm_9364","ecs.c1.large","2019-03-22","2019-03-22"
"vm_4680","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37465","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74931","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74932","ecs.g1.xlarge","2019-03-22","2019-03-22"
"vm_177348","ecs.c1.large","2019-03-22","2019-03-22"
"vm_159250","ecs.c1.large","2019-03-22","2019-03-22"
"vm_141763","ecs.c1.large","2019-03-22","2019-03-22"
"vm_18734","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74943","ecs.c1.large","2019-03-22","2019-03-22"
"vm_18737","ecs.c1.large","2019-03-22","2019-03-22"
"vm_2343","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74951","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37475","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37474","ecs.c1.large","2019-03-22","2019-03-22"
"vm_152972","ecs.c1.2xlarge","2019-03-22","\N"
"vm_9369","ecs.c1.large","2019-03-22","2019-03-22"
"vm_18739","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37480","ecs.c1.large","2019-03-22","2019-03-22"
"vm_177316","ecs.c1.large","2019-03-22","2019-03-22"
"vm_152978","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74967","ecs.c1.large","2019-03-22","2019-03-22"
"vm_9370","ecs.c1.large","2019-03-22","2019-03-22"
"vm_177326","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74972","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37484","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37486","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74978","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37489","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74981","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74980","ecs.c1.large","2019-03-22","2019-03-22"
"vm_166613","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37491","ecs.c1.large","2019-03-22","2019-03-22"
"vm_18744","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37493","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74988","ecs.c1.large","2019-03-22","2019-03-22"
"vm_141753","ecs.c1.large","2019-03-22","2019-03-22"
"vm_74990","ecs.c1.large","2019-03-22","2019-03-22"
"vm_18746","ecs.c1.large","2019-03-22","2019-03-22"
"vm_146","ecs.c1.large","2019-03-22","2019-03-22"
"vm_141760","ecs.c1.large","2019-03-22","2019-03-22"
"vm_141770","ecs.c1.large","2019-03-22","2019-03-22"
"vm_18748","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75001","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37501","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37500","ecs.c1.large","2019-03-22","2019-03-22"
"vm_177349","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75004","ecs.c1.large","2019-03-22","2019-03-22"
"vm_141751","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75007","ecs.c1.large","2019-03-22","2019-03-22"
"vm_18750","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37505","ecs.c1.large","2019-03-22","2019-03-22"
"vm_18752","ecs.c1.large","2019-03-22","2019-03-22"
"vm_4688","ecs.c1.large","2019-03-22","2019-03-22"
"vm_152963","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75013","ecs.c1.large","2019-03-22","2019-03-22"
"vm_179510","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75017","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37509","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37510","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75026","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75029","ecs.c1.large","2019-03-22","2019-03-22"
"vm_18757","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37515","ecs.c1.large","2019-03-22","2019-03-22"
"vm_9378","ecs.c1.large","2019-03-22","2019-03-22"
"vm_292","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75033","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75032","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37517","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37516","ecs.c1.large","2019-03-22","2019-03-22"
"vm_179515","ecs.c1.large","2019-03-22","2019-03-22"
"vm_18759","ecs.c1.large","2019-03-22","2019-03-22"
"vm_37519","ecs.c1.large","2019-03-22","2019-03-22"
"vm_4689","ecs.c1.large","2019-03-22","2019-03-23"
"vm_75042","ecs.c1.large","2019-03-22","2019-03-22"
"vm_152961","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75047","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75046","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75045","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75048","ecs.c1.large","2019-03-22","2019-03-22"
"vm_18763","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75054","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75053","ecs.c1.large","2019-03-22","2019-03-22"
"vm_152952","ecs.c1.large","2019-03-22","2019-03-22"
"vm_75058","ecs.c1.large","2019-03-22","2019-03-22"
"vm_166599","ecs.c1.large","2019-03-22","2019-03-22"
