"vmid","vmtype","createtime","releasetime"
"vm_53173","ecs.c1.xlarge","2019-05-20","2019-05-21"
"vm_277524","ecs.c1.2xlarge","2019-05-20","2019-05-20"
"vm_26595","ecs.g1.large","2019-05-20","2019-06-03"
"vm_53216","ecs.c1.large","2019-05-20","2019-05-20"
"vm_267848","ecs.c1.large","2019-05-20","2019-05-21"
"vm_26629","ecs.c1.2xlarge","2019-05-20","2019-05-21"
"vm_106545","ecs.c1.large","2019-05-20","2019-05-20"
"vm_53283","ecs.c1.large","2019-05-20","2019-05-20"
"vm_250071","ecs.c1.large","2019-05-20","2019-05-20"
"vm_169172","ecs.g1.2xlarge","2019-05-20","2019-05-20"
"vm_106704","ecs.g1.large","2019-05-20","\N"
"vm_263726","ecs.c1.large","2019-05-20","2019-05-21"
"vm_197562","ecs.c1.2xlarge","2019-05-20","2019-05-20"
"vm_53488","ecs.c1.xlarge","2019-05-20","2019-05-20"
"vm_107019","ecs.c1.2xlarge","2019-05-20","2019-05-20"
"vm_107060","ecs.g1.large","2019-05-20","2019-06-03"
"vm_277305","ecs.g1.large","2019-05-20","2019-05-20"
"vm_53582","ecs.c1.large","2019-05-20","2019-05-21"
"vm_13399","ecs.c1.2xlarge","2019-05-20","2019-05-20"
"vm_228927","ecs.c1.large","2019-05-20","2019-05-20"
"vm_277306","ecs.c1.large","2019-05-20","2019-05-20"
"vm_26814","ecs.c1.large","2019-05-20","2019-05-20"
"vm_107267","ecs.c1.large","2019-05-20","2019-05-20"
"vm_107433","ecs.g1.xlarge","2019-05-20","2019-05-22"
"vm_165644","ecs.g1.large","2019-05-20","2019-05-20"
"vm_3359","ecs.c1.xlarge","2019-05-20","2019-05-20"
"vm_107492","ecs.c1.large","2019-05-20","2019-05-21"
"vm_243676","ecs.g1.xlarge","2019-05-20","\N"
"vm_107543","ecs.c1.large","2019-05-20","2019-05-20"
"vm_254497","ecs.c1.large","2019-05-20","\N"
"vm_243675","ecs.c1.2xlarge","2019-05-20","\N"
"vm_107576","ecs.c1.2xlarge","2019-05-20","2019-05-20"
"vm_107610","ecs.c1.large","2019-05-20","2019-05-20"
"vm_107628","ecs.c1.large","2019-05-20","2019-05-20"
"vm_53815","ecs.c1.2xlarge","2019-05-20","2019-05-21"
"vm_107728","ecs.c1.large","2019-05-20","2019-05-21"
"vm_249980","ecs.g1.large","2019-05-20","2019-05-20"
"vm_54125","ecs.c1.2xlarge","2019-05-20","2019-05-20"
"vm_108297","ecs.g1.2xlarge","2019-05-20","2019-05-20"
