"vmid","vmtype","createtime","releasetime"
"vm_30061","ecs.c1.large","2019-03-22","2019-03-22"
"vm_210352","ecs.c1.large","2019-03-22","2019-03-22"
"vm_172435","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120247","ecs.c1.large","2019-03-22","2019-03-22"
"vm_160019","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120249","ecs.c1.large","2019-03-22","2019-03-22"
"vm_189560","ecs.c1.large","2019-03-22","2019-03-22"
"vm_172432","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120250","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120252","ecs.c1.large","2019-03-22","2019-03-22"
"vm_210349","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120254","ecs.c1.large","2019-03-22","2019-03-22"
"vm_60127","ecs.c1.large","2019-03-22","2019-03-22"
"vm_30063","ecs.c1.large","2019-03-22","2019-03-22"
"vm_15032","ecs.c1.large","2019-03-22","2019-03-22"
"vm_172424","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120258","ecs.c1.large","2019-03-22","2019-03-22"
"vm_60128","ecs.c1.large","2019-03-22","2019-03-22"
"vm_7516","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120263","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120262","ecs.c1.large","2019-03-22","2019-03-22"
"vm_15033","ecs.c1.large","2019-03-22","2019-03-22"
"vm_30066","ecs.c1.large","2019-03-22","2019-03-22"
"vm_30068","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120275","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120277","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120279","ecs.c1.large","2019-03-22","2019-03-22"
"vm_15035","ecs.g1.xlarge","2019-03-22","2019-03-22"
"vm_196912","ecs.c1.large","2019-03-22","2019-03-22"
"vm_189555","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120282","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120285","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120290","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120292","ecs.c1.large","2019-03-22","2019-03-22"
"vm_15037","ecs.c1.large","2019-03-22","2019-03-22"
"vm_30074","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120301","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120303","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120302","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120304","ecs.c1.large","2019-03-22","2019-03-22"
"vm_15038","ecs.c1.large","2019-03-22","2019-03-22"
"vm_202728","ecs.c1.large","2019-03-22","2019-03-22"
"vm_172415","ecs.c1.large","2019-03-22","2019-03-22"
"vm_30077","ecs.c1.large","2019-03-22","2019-03-22"
"vm_172420","ecs.c1.large","2019-03-22","2019-03-22"
"vm_60155","ecs.c1.large","2019-03-22","2019-03-22"
"vm_60156","ecs.c1.large","2019-03-22","2019-03-22"
"vm_210363","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120317","ecs.c1.large","2019-03-22","2019-03-22"
"vm_172413","ecs.c1.large","2019-03-22","2019-03-22"
"vm_30078","ecs.c1.large","2019-03-22","2019-03-22"
"vm_228790","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120321","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120322","ecs.c1.large","2019-03-22","2019-03-22"
"vm_60160","ecs.c1.large","2019-03-22","2019-03-22"
"vm_30080","ecs.c1.large","2019-03-22","2019-03-22"
"vm_172405","ecs.c1.large","2019-03-22","2019-03-22"
"vm_172404","ecs.c1.large","2019-03-22","2019-03-22"
"vm_120327","ecs.c1.large","2019-03-22","2019-03-22"
"vm_30083","ecs.c1.large","2019-03-22","2019-03-22"
"vm_221236","ecs.c1.large","2019-03-22","2019-03-22"
"vm_221233","ecs.c1.large","2019-03-22","2019-03-22"
"vm_60165","ecs.c1.large","2019-03-22","2019-03-22"
